AAR,BYDEL,HUSTYP,INDKOMKAT_BRUTTO,HUSTANDE
2013,1,1,1,249
2013,1,2,1,17
2013,1,4,1,30
2013,1,5,1,4
2013,1,6,1,8
2013,1,7,1,3
2013,1,8,1,67
2013,2,1,1,184
2013,2,2,1,15
2013,2,4,1,31
2013,2,5,1,8
2013,2,6,1,5
2013,2,7,1,1
2013,2,8,1,63
2013,3,1,1,140
2013,3,2,1,9
2013,3,4,1,15
2013,3,5,1,6
2013,3,7,1,1
2013,3,8,1,35
2013,4,1,1,150
2013,4,2,1,18
2013,4,4,1,9
2013,4,5,1,3
2013,4,6,1,3
2013,4,7,1,2
2013,4,8,1,37
2013,5,1,1,67
2013,5,2,1,7
2013,5,4,1,2
2013,5,5,1,1
2013,5,7,1,1
2013,5,8,1,16
2013,6,1,1,45
2013,6,2,1,3
2013,6,4,1,3
2013,6,5,1,1
2013,6,8,1,9
2013,7,1,1,64
2013,7,2,1,1
2013,7,4,1,11
2013,7,6,1,4
2013,7,7,1,1
2013,7,8,1,18
2013,8,1,1,99
2013,8,2,1,7
2013,8,4,1,15
2013,8,6,1,2
2013,8,7,1,1
2013,8,8,1,27
2013,9,1,1,99
2013,9,2,1,5
2013,9,4,1,7
2013,9,5,1,4
2013,9,6,1,2
2013,9,8,1,22
2013,10,1,1,131
2013,10,2,1,7
2013,10,4,1,19
2013,10,5,1,3
2013,10,6,1,1
2013,10,7,1,2
2013,10,8,1,47
2012,1,1,1,226
2012,1,2,1,18
2012,1,4,1,34
2012,1,5,1,8
2012,1,6,1,6
2012,1,7,1,1
2012,1,8,1,74
2012,2,1,1,185
2012,2,2,1,16
2012,2,4,1,24
2012,2,5,1,7
2012,2,6,1,7
2012,2,8,1,78
2012,3,1,1,159
2012,3,2,1,7
2012,3,4,1,22
2012,3,5,1,3
2012,3,7,1,3
2012,3,8,1,32
2012,4,1,1,120
2012,4,2,1,13
2012,4,4,1,9
2012,4,5,1,10
2012,4,6,1,3
2012,4,7,1,2
2012,4,8,1,44
2012,5,1,1,68
2012,5,2,1,6
2012,5,4,1,3
2012,5,5,1,1
2012,5,6,1,1
2012,5,7,1,1
2012,5,8,1,12
2012,6,1,1,48
2012,6,2,1,1
2012,6,4,1,6
2012,6,6,1,2
2012,6,8,1,12
2012,7,1,1,57
2012,7,2,1,4
2012,7,4,1,12
2012,7,5,1,1
2012,7,6,1,2
2012,7,7,1,3
2012,7,8,1,22
2012,8,1,1,85
2012,8,2,1,10
2012,8,4,1,15
2012,8,5,1,4
2012,8,6,1,3
2012,8,7,1,1
2012,8,8,1,19
2012,9,1,1,81
2012,9,2,1,4
2012,9,4,1,11
2012,9,6,1,1
2012,9,7,1,1
2012,9,8,1,25
2012,10,1,1,123
2012,10,2,1,10
2012,10,4,1,18
2012,10,5,1,4
2012,10,6,1,2
2012,10,7,1,2
2012,10,8,1,57
2011,1,1,1,216
2011,1,2,1,13
2011,1,4,1,43
2011,1,5,1,7
2011,1,6,1,5
2011,1,7,1,2
2011,1,8,1,79
2011,2,1,1,178
2011,2,2,1,11
2011,2,4,1,28
2011,2,5,1,11
2011,2,6,1,7
2011,2,8,1,83
2011,3,1,1,162
2011,3,2,1,11
2011,3,4,1,15
2011,3,5,1,5
2011,3,6,1,2
2011,3,7,1,2
2011,3,8,1,27
2011,4,1,1,136
2011,4,2,1,9
2011,4,4,1,10
2011,4,5,1,4
2011,4,6,1,4
2011,4,7,1,1
2011,4,8,1,48
2011,5,1,1,77
2011,5,2,1,9
2011,5,4,1,2
2011,5,5,1,4
2011,5,6,1,2
2011,5,7,1,3
2011,5,8,1,30
2011,6,1,1,54
2011,6,2,1,2
2011,6,4,1,3
2011,6,5,1,1
2011,6,6,1,3
2011,6,7,1,1
2011,6,8,1,8
2011,7,1,1,59
2011,7,2,1,7
2011,7,4,1,9
2011,7,5,1,3
2011,7,6,1,3
2011,7,7,1,2
2011,7,8,1,21
2011,8,1,1,87
2011,8,2,1,9
2011,8,4,1,15
2011,8,5,1,3
2011,8,6,1,3
2011,8,8,1,27
2011,9,1,1,93
2011,9,2,1,6
2011,9,4,1,12
2011,9,5,1,1
2011,9,6,1,6
2011,9,7,1,1
2011,9,8,1,24
2011,10,1,1,139
2011,10,2,1,10
2011,10,4,1,20
2011,10,5,1,3
2011,10,6,1,3
2011,10,7,1,2
2011,10,8,1,26
2010,1,1,1,267
2010,1,2,1,14
2010,1,4,1,35
2010,1,5,1,3
2010,1,6,1,2
2010,1,7,1,1
2010,1,8,1,85
2010,2,1,1,236
2010,2,2,1,22
2010,2,4,1,28
2010,2,5,1,7
2010,2,6,1,10
2010,2,7,1,3
2010,2,8,1,81
2010,3,1,1,225
2010,3,2,1,16
2010,3,4,1,16
2010,3,5,1,9
2010,3,6,1,1
2010,3,7,1,4
2010,3,8,1,38
2010,4,1,1,151
2010,4,2,1,16
2010,4,4,1,11
2010,4,5,1,6
2010,4,6,1,2
2010,4,7,1,2
2010,4,8,1,35
2010,5,1,1,105
2010,5,2,1,10
2010,5,4,1,7
2010,5,5,1,2
2010,5,6,1,2
2010,5,7,1,3
2010,5,8,1,19
2010,6,1,1,52
2010,6,2,1,8
2010,6,4,1,3
2010,6,5,1,1
2010,6,6,1,1
2010,6,7,1,1
2010,6,8,1,13
2010,7,1,1,75
2010,7,2,1,11
2010,7,4,1,7
2010,7,5,1,2
2010,7,6,1,1
2010,7,7,1,2
2010,7,8,1,22
2010,8,1,1,124
2010,8,2,1,3
2010,8,4,1,9
2010,8,5,1,4
2010,8,6,1,6
2010,8,7,1,1
2010,8,8,1,24
2010,9,1,1,107
2010,9,2,1,6
2010,9,4,1,10
2010,9,5,1,5
2010,9,6,1,2
2010,9,8,1,23
2010,10,1,1,131
2010,10,2,1,13
2010,10,4,1,19
2010,10,5,1,4
2010,10,6,1,4
2010,10,7,1,6
2010,10,8,1,26
2009,1,1,1,237
2009,1,2,1,10
2009,1,4,1,33
2009,1,5,1,7
2009,1,6,1,8
2009,1,7,1,2
2009,1,8,1,87
2009,2,1,1,219
2009,2,2,1,21
2009,2,4,1,29
2009,2,5,1,12
2009,2,6,1,10
2009,2,7,1,4
2009,2,8,1,63
2009,3,1,1,178
2009,3,2,1,12
2009,3,4,1,12
2009,3,5,1,4
2009,3,6,1,3
2009,3,7,1,5
2009,3,8,1,42
2009,4,1,1,156
2009,4,2,1,18
2009,4,4,1,23
2009,4,5,1,9
2009,4,6,1,3
2009,4,7,1,1
2009,4,8,1,33
2009,5,1,1,90
2009,5,2,1,9
2009,5,4,1,7
2009,5,5,1,6
2009,5,6,1,2
2009,5,7,1,1
2009,5,8,1,16
2009,6,1,1,41
2009,6,2,1,6
2009,6,4,1,2
2009,6,5,1,2
2009,6,8,1,11
2009,7,1,1,55
2009,7,2,1,6
2009,7,4,1,11
2009,7,5,1,2
2009,7,6,1,2
2009,7,7,1,1
2009,7,8,1,15
2009,8,1,1,138
2009,8,2,1,5
2009,8,4,1,27
2009,8,5,1,4
2009,8,6,1,5
2009,8,7,1,1
2009,8,8,1,54
2009,9,1,1,107
2009,9,2,1,9
2009,9,4,1,9
2009,9,5,1,6
2009,9,6,1,1
2009,9,8,1,26
2009,10,1,1,115
2009,10,2,1,9
2009,10,4,1,18
2009,10,5,1,5
2009,10,6,1,5
2009,10,7,1,4
2009,10,8,1,54
2008,1,1,1,266
2008,1,2,1,15
2008,1,4,1,32
2008,1,5,1,5
2008,1,6,1,6
2008,1,8,1,70
2008,2,1,1,195
2008,2,2,1,11
2008,2,4,1,34
2008,2,5,1,12
2008,2,6,1,7
2008,2,7,1,1
2008,2,8,1,67
2008,3,1,1,207
2008,3,2,1,11
2008,3,4,1,22
2008,3,5,1,5
2008,3,6,1,1
2008,3,7,1,2
2008,3,8,1,34
2008,4,1,1,165
2008,4,2,1,17
2008,4,4,1,18
2008,4,5,1,5
2008,4,6,1,1
2008,4,7,1,1
2008,4,8,1,26
2008,5,1,1,89
2008,5,2,1,10
2008,5,4,1,20
2008,5,5,1,4
2008,5,6,1,2
2008,5,7,1,3
2008,5,8,1,23
2008,6,1,1,69
2008,6,2,1,4
2008,6,4,1,5
2008,6,5,1,2
2008,6,6,1,2
2008,6,8,1,12
2008,7,1,1,62
2008,7,2,1,12
2008,7,4,1,8
2008,7,5,1,4
2008,7,6,1,2
2008,7,8,1,15
2008,8,1,1,170
2008,8,2,1,4
2008,8,4,1,22
2008,8,5,1,2
2008,8,6,1,2
2008,8,7,1,1
2008,8,8,1,44
2008,9,1,1,117
2008,9,2,1,16
2008,9,4,1,16
2008,9,5,1,5
2008,9,6,1,6
2008,9,8,1,33
2008,10,1,1,161
2008,10,2,1,7
2008,10,4,1,24
2008,10,5,1,8
2008,10,6,1,5
2008,10,7,1,2
2008,10,8,1,42
2007,1,1,1,227
2007,1,2,1,14
2007,1,4,1,29
2007,1,5,1,5
2007,1,6,1,2
2007,1,8,1,49
2007,2,1,1,160
2007,2,2,1,11
2007,2,4,1,24
2007,2,5,1,8
2007,2,6,1,5
2007,2,7,1,6
2007,2,8,1,36
2007,3,1,1,161
2007,3,2,1,7
2007,3,4,1,13
2007,3,5,1,5
2007,3,6,1,1
2007,3,7,1,1
2007,3,8,1,20
2007,4,1,1,120
2007,4,2,1,13
2007,4,4,1,7
2007,4,5,1,4
2007,4,6,1,2
2007,4,7,1,1
2007,4,8,1,12
2007,5,1,1,66
2007,5,2,1,4
2007,5,4,1,7
2007,5,5,1,2
2007,5,6,1,3
2007,5,7,1,2
2007,5,8,1,7
2007,6,1,1,51
2007,6,2,1,7
2007,6,4,1,5
2007,6,5,1,1
2007,6,6,1,2
2007,6,8,1,11
2007,7,1,1,45
2007,7,2,1,6
2007,7,4,1,6
2007,7,5,1,1
2007,7,6,1,2
2007,7,8,1,3
2007,8,1,1,116
2007,8,2,1,5
2007,8,4,1,11
2007,8,5,1,2
2007,8,6,1,3
2007,8,7,1,1
2007,8,8,1,13
2007,9,1,1,89
2007,9,2,1,3
2007,9,4,1,16
2007,9,5,1,1
2007,9,6,1,1
2007,9,7,1,1
2007,9,8,1,10
2007,10,1,1,116
2007,10,2,1,6
2007,10,4,1,18
2007,10,5,1,4
2007,10,6,1,1
2007,10,7,1,1
2007,10,8,1,22
2006,1,1,1,179
2006,1,2,1,22
2006,1,4,1,25
2006,1,5,1,8
2006,1,6,1,5
2006,1,7,1,3
2006,1,8,1,37
2006,2,1,1,158
2006,2,2,1,12
2006,2,4,1,20
2006,2,5,1,7
2006,2,6,1,13
2006,2,7,1,2
2006,2,8,1,22
2006,3,1,1,183
2006,3,2,1,10
2006,3,4,1,11
2006,3,6,1,3
2006,3,7,1,3
2006,3,8,1,29
2006,4,1,1,91
2006,4,2,1,5
2006,4,4,1,16
2006,4,6,1,3
2006,4,7,1,1
2006,4,8,1,12
2006,5,1,1,89
2006,5,2,1,3
2006,5,4,1,3
2006,5,5,1,1
2006,5,6,1,4
2006,5,7,1,1
2006,5,8,1,7
2006,6,1,1,56
2006,6,2,1,3
2006,6,4,1,5
2006,6,5,1,2
2006,6,6,1,3
2006,6,8,1,7
2006,7,1,1,65
2006,7,2,1,3
2006,7,4,1,4
2006,7,5,1,1
2006,7,6,1,1
2006,7,7,1,2
2006,7,8,1,2
2006,8,1,1,107
2006,8,2,1,6
2006,8,4,1,8
2006,8,5,1,5
2006,8,7,1,2
2006,8,8,1,14
2006,9,1,1,80
2006,9,2,1,8
2006,9,4,1,15
2006,9,5,1,3
2006,9,6,1,2
2006,9,7,1,1
2006,9,8,1,14
2006,10,1,1,99
2006,10,2,1,5
2006,10,4,1,13
2006,10,5,1,3
2006,10,6,1,3
2006,10,8,1,15
2005,1,1,1,253
2005,1,2,1,25
2005,1,4,1,30
2005,1,5,1,8
2005,1,6,1,8
2005,1,7,1,2
2005,1,8,1,47
2005,2,1,1,220
2005,2,2,1,20
2005,2,4,1,34
2005,2,5,1,18
2005,2,6,1,8
2005,2,7,1,2
2005,2,8,1,23
2005,3,1,1,262
2005,3,2,1,17
2005,3,4,1,23
2005,3,5,1,4
2005,3,6,1,7
2005,3,7,1,6
2005,3,8,1,27
2005,4,1,1,170
2005,4,2,1,12
2005,4,4,1,15
2005,4,5,1,1
2005,4,6,1,2
2005,4,8,1,21
2005,5,1,1,129
2005,5,2,1,11
2005,5,4,1,6
2005,5,5,1,1
2005,5,6,1,7
2005,5,7,1,3
2005,5,8,1,6
2005,6,1,1,87
2005,6,4,1,5
2005,6,5,1,2
2005,6,6,1,3
2005,6,8,1,5
2005,7,1,1,84
2005,7,2,1,10
2005,7,4,1,7
2005,7,5,1,2
2005,7,6,1,3
2005,7,7,1,2
2005,7,8,1,11
2005,8,1,1,164
2005,8,2,1,13
2005,8,4,1,12
2005,8,5,1,5
2005,8,7,1,6
2005,8,8,1,10
2005,9,1,1,155
2005,9,2,1,17
2005,9,4,1,26
2005,9,5,1,3
2005,9,6,1,3
2005,9,7,1,3
2005,9,8,1,26
2005,10,1,1,153
2005,10,2,1,11
2005,10,4,1,9
2005,10,5,1,3
2005,10,6,1,4
2005,10,7,1,4
2005,10,8,1,13
2004,1,1,1,211
2004,1,2,1,10
2004,1,4,1,16
2004,1,5,1,2
2004,1,6,1,5
2004,1,7,1,3
2004,1,8,1,25
2004,2,1,1,226
2004,2,2,1,14
2004,2,4,1,16
2004,2,5,1,7
2004,2,6,1,4
2004,2,7,1,3
2004,2,8,1,17
2004,3,1,1,209
2004,3,2,1,11
2004,3,4,1,13
2004,3,5,1,7
2004,3,6,1,6
2004,3,7,1,4
2004,3,8,1,24
2004,4,1,1,136
2004,4,2,1,12
2004,4,4,1,14
2004,4,5,1,2
2004,4,6,1,4
2004,4,7,1,3
2004,4,8,1,21
2004,5,1,1,100
2004,5,2,1,10
2004,5,4,1,7
2004,5,5,1,4
2004,5,6,1,5
2004,5,7,1,2
2004,5,8,1,8
2004,6,1,1,72
2004,6,2,1,1
2004,6,4,1,7
2004,6,5,1,1
2004,6,6,1,1
2004,6,7,1,2
2004,6,8,1,8
2004,7,1,1,75
2004,7,2,1,6
2004,7,4,1,5
2004,7,5,1,2
2004,7,6,1,3
2004,7,7,1,3
2004,7,8,1,11
2004,8,1,1,125
2004,8,2,1,6
2004,8,4,1,10
2004,8,6,1,1
2004,8,8,1,12
2004,9,1,1,116
2004,9,2,1,15
2004,9,4,1,9
2004,9,5,1,4
2004,9,6,1,1
2004,9,8,1,15
2004,10,1,1,125
2004,10,2,1,10
2004,10,4,1,11
2004,10,5,1,4
2004,10,6,1,1
2004,10,8,1,16
2003,1,1,1,193
2003,1,2,1,9
2003,1,4,1,18
2003,1,5,1,5
2003,1,6,1,7
2003,1,7,1,1
2003,1,8,1,14
2003,2,1,1,198
2003,2,2,1,13
2003,2,4,1,17
2003,2,5,1,7
2003,2,6,1,4
2003,2,7,1,5
2003,2,8,1,16
2003,3,1,1,194
2003,3,2,1,7
2003,3,4,1,17
2003,3,5,1,5
2003,3,6,1,4
2003,3,7,1,3
2003,3,8,1,19
2003,4,1,1,137
2003,4,2,1,7
2003,4,4,1,6
2003,4,5,1,3
2003,4,7,1,1
2003,4,8,1,20
2003,5,1,1,100
2003,5,2,1,8
2003,5,4,1,4
2003,5,5,1,2
2003,5,7,1,5
2003,5,8,1,5
2003,6,1,1,53
2003,6,2,1,2
2003,6,4,1,5
2003,6,5,1,1
2003,6,6,1,1
2003,6,8,1,4
2003,7,1,1,91
2003,7,2,1,3
2003,7,4,1,6
2003,7,5,1,1
2003,7,7,1,2
2003,7,8,1,11
2003,8,1,1,111
2003,8,2,1,4
2003,8,4,1,11
2003,8,6,1,2
2003,8,7,1,1
2003,8,8,1,10
2003,9,1,1,101
2003,9,2,1,11
2003,9,4,1,12
2003,9,5,1,3
2003,9,6,1,2
2003,9,8,1,15
2003,10,1,1,114
2003,10,2,1,13
2003,10,4,1,4
2003,10,5,1,4
2003,10,6,1,2
2003,10,7,1,1
2003,10,8,1,9
